id,requirement,frontend_path,backend_path,shared_path,ml_path,db_table,test_id,status
FR-01,"Aggregate mandi prices — nightly Agmarknet-shaped ingestion, cleaning and district benchmark",apps/web/src/features/home,apps/api/src/modules/market;apps/api/src/adapters/market-data,packages/shared/src/benchmark,ml/ingest;ml/clean;ml/export,market_prices,packages/shared/src/benchmark/benchmark.test.ts;apps/api/test/contracts/market-weather.contract.test.ts;ml/tests/test_ingest_clean.py,building
FR-02,"Buyer demand — buyer requirements with crop, grade floor, quantity, price, district and radius; several concurrent per buyer",apps/web/src/features/buyer-desk,apps/api/src/modules/buyers,packages/shared/src/matching,,buyer_requirements,,planned
FR-03,"Quality requirements — variety, FAQ grade, moisture where relevant; grade minimums on requirements",apps/web/src/features/buyer-desk;apps/web/src/features/sell,apps/api/src/modules/buyers;apps/api/src/modules/listings,packages/shared/src/matching;packages/shared/src/vision,,buyer_requirements;listings,,planned
FR-04,"Arrival volumes — ingested, cleaned and used as RAKSHA signal layer RK-3",apps/web/src/features/raksha,apps/api/src/modules/market,packages/shared/src/bundle,ml/ingest;ml/clean;ml/features,market_arrivals,apps/api/test/contracts/market-weather.contract.test.ts;ml/tests/test_ingest_clean.py,building
FR-05,"Transport options — district transporter directory (vehicle class, capacity, indicative tariff) attached at acceptance",apps/web/src/features/logistics,apps/api/src/modules/logistics;apps/api/src/adapters/transport-tariff,packages/shared/src/matching,,transporters,packages/shared/src/matching/matching.test.ts;apps/api/test/contracts/logistics.contract.test.ts,building
FR-06,Storage options — accredited warehouse lookup; e-NWR pledge-finance route (CGS-NPF) surfaced at the decision,apps/web/src/features/logistics;apps/web/src/features/raksha,apps/api/src/modules/storage;apps/api/src/adapters/storage-registry,packages/shared/src/decision,,storage_facilities,apps/api/test/contracts/logistics.contract.test.ts,building
FR-07,"Localised price trends — district modal, MSP floor, 7-day trend, week-of-year seasonal position",apps/web/src/features/home,apps/api/src/modules/market,packages/shared/src/benchmark,ml/climatology;ml/export,market_prices,packages/shared/src/benchmark/benchmark.test.ts;apps/web/src/offline/offline.test.ts;apps/web/e2e/briefing.spec.ts,building
FR-08,"Sale-window recommendations — RAKSHA 7- and 14-day direction with band, behind the seven-condition guardrail",apps/web/src/features/raksha,apps/api/src/modules/raksha,packages/shared/src/decision;packages/shared/src/staleness,ml/raksha;ml/evaluate,forecast_bundles;raksha_signals,packages/shared/src/decision/decision.test.ts;ml/tests/test_raksha.py;packages/shared/src/bundle/golden.test.ts;apps/api/test/bundles.test.ts;apps/api/test/bundles.db.test.ts;ml/tests/test_export.py;apps/web/src/offline/offline.test.ts;apps/web/src/briefing/evidence.test.ts;apps/web/e2e/briefing.spec.ts,building
FR-09,"Match farmers and FPOs with verified buyers — explained, ranked shortlist; FPO a distinct account type; opt-in aggregation into one consignment",apps/web/src/match;apps/web/src/pools;apps/web/src/ui/Home.tsx,apps/api/src/modules/demand;apps/api/src/modules/pools,packages/shared/src/matching;packages/shared/src/aggregation,,buyer_requirements;buyer_profiles;deals;payments;disputes;aggregation_pools;aggregation_members;fpos;fpo_members,packages/shared/src/matching/matching.test.ts;packages/shared/src/matching/demand.test.ts;packages/shared/src/aggregation/pools.test.ts;apps/api/test/demand.db.test.ts;apps/api/test/pools.db.test.ts;apps/web/src/match/match.test.ts;apps/web/e2e/gate-f.spec.ts;apps/web/e2e/pools.spec.ts,done
FR-10,"Lot creation — offline-capable listing with photographs, sync-state display and outbox",apps/web/src/sell;apps/web/src/offline;apps/web/src/camera,apps/api/src/modules/listings;apps/api/src/modules/photos,packages/shared/src/dealstate;packages/shared/src/parser,,listings;listing_photos;photo_uploads,packages/shared/src/parser/parse.test.ts;packages/shared/src/dealstate/outbox.test.ts;apps/api/test/contracts/speech-fallback.contract.test.ts;apps/web/src/offline/offline.test.ts;apps/web/e2e/gate-a.spec.ts;apps/api/test/outbox.db.test.ts;apps/api/test/listings.db.test.ts;apps/web/e2e/sell.spec.ts;apps/web/e2e/gate-c.spec.ts,done
FR-11,"Quality grading — on-device vision pipeline with gates, OOD rejection, confidence bands, farmer confirmation",apps/web/src/camera,apps/api/src/modules/photos,packages/shared/src/vision,ml/vision,listing_photos,packages/shared/src/vision/vision.test.ts;apps/api/test/vision.scenes.test.ts;apps/web/src/camera/parity.test.ts;apps/web/e2e/gate-c.spec.ts;ml/tests/test_vision.py,done
FR-12,"Digital offers — offer, counter, accept; server-authoritative; the sauda slip issued on acceptance",apps/web/src/deals,apps/api/src/modules/deals,packages/shared/src/dealstate,,offers;counters;deals;sauda_slips;contact_grants,packages/shared/src/dealstate/dealstate.test.ts;packages/shared/src/dealstate/outbox.test.ts;apps/api/test/deals.db.test.ts;apps/web/e2e/gate-g.spec.ts,done
FR-13,Logistics coordination — suggested pickup recorded on the sauda slip; pickup risk checked against weather; storage and the e-NWR route named beside a wait,apps/web/src/deals;apps/web/src/briefing,apps/api/src/modules/weather;apps/api/src/modules/deals,packages/shared/src/weather;packages/shared/src/decision,,sauda_slips,packages/shared/src/weather/urgency.test.ts;apps/api/test/deals.db.test.ts,done
